# ATNF Pulsar Catalogue periods and characteristic ages.
# Source: Manchester, Hobbs, Teoh & Hobbs 2005, AJ 129, 1993,
#   VizieR B/psr (CDS catalogue B/psr).
#   https://cdsarc.cds.unistra.fr/viz-bin/cat/B/psr
# Downloaded 2026-08-17 via VizieR Harvard.
#
# One row per pulsar that has both a barycentric period P0 and a
#   characteristic age Age = P/(2Pdot). Pulsars without a measured
#   spin-down are omitted. VizieR B/psr does not publish Pdot as a
#   column; the film recovers it as P / (2 tau).
# Age is in years as tabulated. Edot is the catalogue spin-down
#   luminosity in erg/s. dm_pc_cm3 and distance_kpc are blank when
#   the catalogue has no value.
# This is the 2005 VizieR snapshot, not a live ATNF query.
jname,period_s,dm_pc_cm3,distance_kpc,age_yr,edot_erg_s
J0536-7543,1.24585559629000,17.500000,1.04,34900000.0,1.200e+31
J0537-6910,0.01612222202450,,49.70,4930.0,4.900e+38
J0538+2817,0.14315825891177,39.570000,1.30,618000.0,4.900e+34
J0540+3207,0.52427086320830,61.970000,2.37,18500000.0,1.200e+32
J0540-6919,0.05049881764574,146.500000,49.70,1670.0,1.500e+38
J0540-7125,1.28601459500000,29.410000,2.69,24800000.0,1.500e+31
J0543+2329,0.24597476889010,77.711500,3.54,253000.0,4.100e+34
J0543-6851,0.70895418575000,131.000000,49.70,2850000.0,4.400e+32
J0546+2441,2.84385038524000,73.810000,3.16,5890000.0,1.300e+31
J0554+3107,0.46496096573600,,,51700.0,5.600e+34
J0555-7056,0.82783808575000,73.400000,49.70,2200000.0,4.100e+32
J0557+1550,0.00255636707678,102.572300,5.65,5510000000.0,1.700e+34
J0600-5756,2.26136451300000,30.000000,2.55,12900000.0,9.500e+30
J0601-0527,0.39596916954320,80.538000,7.54,4820000.0,8.300e+32
J0609+2130,0.05569801392951,38.730000,1.82,3760000000.0,5.400e+31
J0610-2100,0.00386132470430,60.666200,5.64,4950000000.0,8.500e+33
J0612+3721,0.29798232657184,27.135000,1.49,79400000.0,8.900e+31
J0613+3731,0.61919818110000,18.990000,1.05,3020000.0,5.400e+32
J0613-0200,0.00306184408768,38.779190,1.09,5060000000.0,1.300e+34
J0614+2229,0.33495996611000,96.910000,4.74,89300.0,6.200e+34
J0614-3329,0.00314866957944,37.049000,1.02,2840000000.0,2.200e+34
J0621+0336,0.26995406836780,72.590000,3.58,591000000.0,1.500e+31
J0621+1002,0.02885386073005,36.601000,1.88,9660000000.0,7.800e+31
J0622+3749,0.33320823180100,,,208000.0,2.700e+34
J0623+0340,0.61375960002200,54.000000,2.53,110000000.0,1.500e+31
J0624-0424,1.03907647585100,70.835000,4.28,19800000.0,2.900e+31
J0627+0649,0.34652256713100,86.600000,4.00,3230000.0,1.600e+33
J0627+0706,0.47587700897000,138.150000,7.88,253000.0,1.100e+34
J0628+0909,1.24142139129900,88.300000,4.00,35900000.0,1.100e+31
J0629+2415,0.47662283603800,84.195000,4.67,3780000.0,7.300e+32
J0630-0046,0.68057483226800,97.300000,5.57,2880000.0,4.700e+32
J0630-2834,1.24441859615000,34.425000,0.32,2770000.0,1.500e+32
J0631+1036,0.28780002195900,125.360000,6.54,43600.0,1.700e+35
J0633+0632,0.29739519058000,,,59200.0,1.200e+35
J0633+1746,0.23709944169230,2.890000,0.25,342000.0,3.200e+34
J0633-2015,3.25321083840000,90.700000,7.84,13500000.0,4.400e+30
J0636+5129,0.00286895284631,11.105980,0.20,13400000000.0,5.700e+33
J0636-4549,1.98459736713000,26.310000,0.98,9910000.0,1.600e+31
J0645+5158,0.00885349668613,18.247536,0.77,28500000000.0,2.800e+32
J0646+0905,0.90391320000000,149.000000,9.50,19500000.0,3.900e+31
J0647+0913,1.23485362778000,154.700000,10.84,3050000.0,1.300e+32
J0652-0142,0.92405391810900,116.300000,5.83,96000000.0,7.600e+30
J0653+8051,1.21444051151600,33.332000,3.37,5070000.0,8.400e+31
J0656-2228,1.22475441462000,32.390000,1.79,727000000.0,5.700e+29
J0656-5449,0.18315689879500,67.500000,4.88,90900000.0,2.100e+32
J0658+0022,0.56329492525500,122.000000,6.46,975000.0,2.000e+33
J0659+1414,0.38489119505400,13.977000,0.28,111000.0,3.800e+34
J0700+6418,0.19567094516627,8.777000,0.49,4520000000.0,3.600e+30
J0709-5923,0.48526838392500,65.000000,4.94,61000000.0,4.400e+31
J0711+0931,1.21409049248000,45.000000,2.39,48100000.0,8.800e+30
J0711-6830,0.00549096850619,18.406600,1.04,5840000000.0,3.600e+33
J0719-2545,0.97472473063100,253.890000,17.33,2120000.0,3.100e+32
