# Single-mode RR Lyrae stars in the Large and Small Magellanic Clouds.
# Source: Soszynski et al. 2016 (Acta Astronomica 66, 131), the OGLE-IV Collection of
#   Variable Stars, via VizieR J/AcA/66/131 tables lmcrrabc/smcrrabc. Downloaded 2026-08-17.
#
# RRab (fundamental mode) and RRc (first overtone) only. Double-mode RRd and
#   anomalous aRRd stars are left out — they pulsate in two periods at once and
#   would smear both the Bailey diagram and the period–luminosity ridge.
# Every star has an intensity-mean V and I magnitude and an I-band amplitude.
#   Mean magnitudes are apparent: no extinction correction has been applied.
#   The Wesenheit index I - 1.55 (V - I) is derived in the scene, not stored.
#
# period_days is the catalogue period; epoch_max_hjd is its time of maximum
#   light (HJD - 2450000). i_amplitude_mag is peak-to-peak I-band amplitude.
# One row per star.
cloud,star,type,period_days,epoch_max_hjd,mean_v_mag,mean_i_mag,i_amplitude_mag
LMC,OGLE-LMC-RRLYR-00133,RRab,0.6030541,6000.46370,19.274,18.655,0.344
LMC,OGLE-LMC-RRLYR-00134,RRc,0.2746456,6000.01302,19.546,19.154,0.306
LMC,OGLE-LMC-RRLYR-00135,RRc,0.3549001,6000.15239,19.230,18.768,0.369
LMC,OGLE-LMC-RRLYR-00136,RRc,0.3300791,6000.12470,19.146,18.800,0.214
LMC,OGLE-LMC-RRLYR-00137,RRab,0.5996948,6000.24844,19.474,18.758,0.733
LMC,OGLE-LMC-RRLYR-00138,RRab,0.5535607,6000.33166,19.305,18.796,0.665
LMC,OGLE-LMC-RRLYR-00139,RRab,0.6199906,6000.19797,19.382,18.734,0.642
LMC,OGLE-LMC-RRLYR-00140,RRc,0.2304203,6000.08275,19.796,19.380,0.262
LMC,OGLE-LMC-RRLYR-00141,RRc,0.2367603,6000.18719,19.882,19.426,0.278
LMC,OGLE-LMC-RRLYR-00142,RRab,0.6419179,6000.50179,19.352,18.680,0.174
LMC,OGLE-LMC-RRLYR-00143,RRc,0.3448931,6000.18982,19.360,18.878,0.281
LMC,OGLE-LMC-RRLYR-00144,RRab,0.5122609,6000.01311,19.460,18.874,0.828
LMC,OGLE-LMC-RRLYR-00145,RRab,0.6144388,6000.13652,19.447,18.821,0.431
LMC,OGLE-LMC-RRLYR-00146,RRab,0.4813849,6000.42106,19.566,19.018,0.867
LMC,OGLE-LMC-RRLYR-00147,RRab,0.6463457,6000.52549,19.405,18.763,0.218
LMC,OGLE-LMC-RRLYR-00148,RRab,0.6145614,6000.41003,19.343,18.769,0.777
LMC,OGLE-LMC-RRLYR-00149,RRab,0.7683521,6000.32104,19.085,18.477,0.089
