# TESS Sector 70 light curve for TRAPPIST-1 (TIC 278892590, T = 13.85).
# Source: MAST / TESS SPOC 2-minute PDCSAP via lightkurve search_lightcurve(
#   'TRAPPIST-1', mission='TESS', exptime=120).
# relative_flux = PDCSAP / median. detrended_flux = lightkurve flatten(
#   window_length=241 cadences ~ 8 h, polyorder=2, niters=3, sigma=3) / median;
#   the 8 h window is far longer than the 36 min transit, so transits survive.
# Flares and the mid-sector downlink gap are left in — both are real.
# Point-to-point scatter is 1.37%, so a single 0.95% transit is
#   invisible; folding on the period is what reveals it.
# TRAPPIST-1 b ephemeris measured from THIS light curve by box-least-squares
#   (astropy BoxLeastSquares, no catalog input): period 1.510919 d,
#   mid-transit 3209.809538 BTJD, duration 30.0 min, 13 transits observed.
#   Published period for comparison: 1.510826 d.
# Columns: btjd_day = BJD_TDB - 2457000; fluxes are dimensionless.
btjd_day,relative_flux,detrended_flux
3209.685221,1.018529,1.022206
3209.686610,1.004521,1.008122
3209.687999,1.008520,1.012032
3209.689387,1.025937,1.029467
3209.690776,1.013553,1.016929
3209.692165,0.994182,0.997510
3209.693554,1.000570,1.003866
3209.694943,0.998768,1.002231
3209.696332,1.009841,1.013276
3209.697721,1.005154,1.008685
3209.699109,0.981759,0.985356
3209.700498,0.977036,0.980715
3209.701887,1.017886,1.021771
3209.703276,0.999320,1.003132
3209.704665,1.003528,1.007288
3209.706054,0.998257,1.001829
3209.707443,0.982589,0.986131
3209.708832,1.015310,1.019229
3209.710220,1.003333,1.007238
3209.711609,1.007707,1.011604
3209.712998,0.983136,0.986806
3209.714387,1.008915,1.012666
3209.715776,0.990603,0.994316
3209.717165,0.990468,0.994145
3209.718554,0.997281,1.000949
3209.719942,0.988278,0.991867
3209.721331,0.987367,0.991055
3209.722720,1.004801,1.008418
3209.724109,0.995776,0.999219
3209.725498,1.000992,1.004421
3209.726887,0.995092,0.998608
3209.728276,1.010065,1.013644
3209.729664,1.007226,1.010846
3209.731053,1.004189,1.007768
3209.732442,0.989863,0.993315
3209.733831,0.994035,0.997291
3209.735220,1.004166,1.007335
3209.736609,1.007138,1.010244
3209.737998,0.975220,0.978231
3209.739386,0.987054,0.990047
3209.740775,0.982857,0.985682
3209.742164,0.984702,0.987619
3209.743553,1.023757,1.026846
3209.744942,1.009867,1.012997
3209.746331,0.998956,1.002213
3209.747720,0.997980,1.001103
3209.749108,1.003675,1.006855
3209.750497,1.010730,1.014097
3209.751886,0.987238,0.990634
3209.753275,0.994054,0.997595
3209.754664,0.984083,0.987391
3209.756053,0.999330,1.002580
3209.757442,0.985353,0.988886
3209.758830,1.024095,1.027596
3209.760219,1.011034,1.014505
3209.761608,0.977917,0.981116
3209.762997,0.997020,1.000188
3209.764386,0.979388,0.982527
3209.765775,0.989149,0.992202
3209.767164,1.002881,1.005839
3209.768552,0.996725,0.999720
3209.769941,0.987334,0.990462
3209.771330,1.002023,1.004913
3209.772719,1.009372,1.012280
3209.774108,0.993403,0.996169
3209.775497,1.007305,1.010072
3209.776886,0.972051,0.974575
3209.778274,0.976207,0.978665
3209.779663,0.998018,1.000578
3209.781052,0.997729,1.000315
3209.782441,0.984324,0.986904
3209.783830,1.002571,1.005042
3209.785219,1.013319,1.015852
3209.786608,1.010272,1.012904
3209.787996,1.014924,1.017468
3209.789385,1.002187,1.004525
3209.790774,0.974872,0.977085
3209.792163,1.010663,1.012960
3209.793552,0.999817,1.001921
3209.794941,1.027443,1.029704
3209.796330,1.006910,1.008972
3209.797719,0.987973,0.989940
3209.799107,0.994580,0.996629
3209.800496,0.994556,0.996469
3209.801885,0.981546,0.983229
3209.803274,0.986174,0.987840
3209.804663,0.992283,0.993878
3209.806052,0.980613,0.982133
3209.807441,0.983643,0.985136
3209.808829,0.961003,0.962323
3209.810218,0.971995,0.973400
3209.811607,0.999575,1.000977
3209.812996,0.992794,0.994226
3209.814385,0.990390,0.991572
3209.815774,0.990458,0.991732
3209.817163,0.984766,0.985832
3209.818551,0.984096,0.985117
3209.819940,0.989706,0.990557
3209.821329,1.017642,1.018602
3209.822718,0.990720,0.991614
3209.824107,0.978463,0.979453
3209.825496,0.999282,1.000132
3209.826885,1.008652,1.009709
3209.828273,1.013911,1.014956
3209.829662,1.018812,1.019844
3209.831051,0.980513,0.981435
3209.832440,0.993356,0.994190
3209.833829,1.006328,1.007190
3209.835218,0.999944,1.000773
3209.836607,1.009823,1.010623
3209.837995,1.024317,1.025052
3209.839384,1.020166,1.021014
3209.840773,0.989954,0.990818
3209.842162,1.006389,1.007097
