# OGLE-IV I-band photometry for three LMC RR Lyrae stars spanning Bailey type.
# Source: Soszynski et al. 2016 (Acta Astronomica 66, 131), OGLE-IV Collection of
#   Variable Stars, https://www.astrouw.edu.pl/ogle/ogle4/OCVS/lmc/rrlyr/phot/I/
# Downloaded 2026-08-17.
#
# OGLE-LMC-RRLYR-03686 (RRc, 0.284 d), OGLE-LMC-RRLYR-16323 (RRab, 0.489 d)
#   and OGLE-LMC-RRLYR-12984 (RRab, 0.650 d). Same galaxy, three clocks:
#   an overtone sine, a high-amplitude sawtooth, and a longer, smaller bump.
#
# time_hjd is HJD - 2450000 as stored by OGLE; i_mag is the I-band magnitude
#   and i_mag_error is the catalogue uncertainty. Folding uses the period only.
star,time_hjd,i_mag,i_mag_error
OGLE-LMC-RRLYR-16323,5297.52306,18.576,0.046
OGLE-LMC-RRLYR-16323,5298.56807,18.645,0.061
OGLE-LMC-RRLYR-16323,5301.52886,18.711,0.058
OGLE-LMC-RRLYR-16323,5306.52535,18.705,0.057
OGLE-LMC-RRLYR-16323,5308.53311,18.718,0.065
OGLE-LMC-RRLYR-16323,5309.55378,18.664,0.060
OGLE-LMC-RRLYR-16323,5310.55364,18.229,0.050
OGLE-LMC-RRLYR-16323,5311.51872,18.522,0.072
OGLE-LMC-RRLYR-16323,5313.50270,18.062,0.051
OGLE-LMC-RRLYR-16323,5314.51747,18.222,0.057
OGLE-LMC-RRLYR-16323,5322.46497,18.555,0.070
OGLE-LMC-RRLYR-16323,5325.47925,18.752,0.076
OGLE-LMC-RRLYR-16323,5327.48156,18.753,0.059
OGLE-LMC-RRLYR-16323,5335.47226,18.694,0.062
OGLE-LMC-RRLYR-16323,5341.49376,18.476,0.070
OGLE-LMC-RRLYR-16323,5343.49636,18.553,0.094
OGLE-LMC-RRLYR-16323,5430.91444,18.237,0.041
OGLE-LMC-RRLYR-16323,5439.92393,18.715,0.094
OGLE-LMC-RRLYR-16323,5444.89399,18.723,0.052
OGLE-LMC-RRLYR-16323,5448.91293,18.772,0.056
OGLE-LMC-RRLYR-16323,5451.82634,18.717,0.060
OGLE-LMC-RRLYR-16323,5454.90530,18.306,0.039
OGLE-LMC-RRLYR-16323,5457.76920,18.115,0.027
OGLE-LMC-RRLYR-16323,5459.88114,18.518,0.040
OGLE-LMC-RRLYR-16323,5462.87008,18.536,0.047
OGLE-LMC-RRLYR-16323,5462.87631,18.636,0.057
OGLE-LMC-RRLYR-16323,5467.85001,18.714,0.058
OGLE-LMC-RRLYR-16323,5468.83893,18.689,0.054
OGLE-LMC-RRLYR-16323,5470.81386,18.660,0.052
OGLE-LMC-RRLYR-16323,5471.86160,18.775,0.053
OGLE-LMC-RRLYR-16323,5473.79644,18.714,0.050
OGLE-LMC-RRLYR-16323,5477.79840,18.386,0.030
OGLE-LMC-RRLYR-16323,5478.80588,18.153,0.027
OGLE-LMC-RRLYR-16323,5481.74524,18.113,0.034
OGLE-LMC-RRLYR-16323,5484.79060,18.502,0.039
OGLE-LMC-RRLYR-16323,5485.81736,18.549,0.042
OGLE-LMC-RRLYR-16323,5487.73823,18.506,0.042
OGLE-LMC-RRLYR-16323,5488.74125,18.553,0.048
OGLE-LMC-RRLYR-16323,5489.83351,18.665,0.043
OGLE-LMC-RRLYR-16323,5490.74236,18.588,0.055
OGLE-LMC-RRLYR-16323,5491.85574,18.708,0.061
OGLE-LMC-RRLYR-16323,5492.77779,18.704,0.063
OGLE-LMC-RRLYR-16323,5493.80010,18.690,0.063
OGLE-LMC-RRLYR-16323,5494.84485,18.680,0.060
OGLE-LMC-RRLYR-16323,5495.80200,18.735,0.048
OGLE-LMC-RRLYR-16323,5496.79985,18.725,0.075
OGLE-LMC-RRLYR-16323,5497.83000,18.693,0.054
OGLE-LMC-RRLYR-16323,5499.73700,18.744,0.048
OGLE-LMC-RRLYR-16323,5502.80718,18.295,0.030
OGLE-LMC-RRLYR-16323,5503.76239,18.182,0.030
OGLE-LMC-RRLYR-16323,5505.73208,18.214,0.038
OGLE-LMC-RRLYR-16323,5506.74959,18.222,0.029
OGLE-LMC-RRLYR-16323,5507.76770,18.461,0.034
OGLE-LMC-RRLYR-16323,5509.67609,18.310,0.034
OGLE-LMC-RRLYR-16323,5510.73198,18.500,0.038
OGLE-LMC-RRLYR-16323,5511.70819,18.527,0.039
OGLE-LMC-RRLYR-16323,5512.75126,18.669,0.041
OGLE-LMC-RRLYR-16323,5513.72157,18.612,0.040
OGLE-LMC-RRLYR-16323,5514.75411,18.691,0.042
OGLE-LMC-RRLYR-16323,5515.67136,18.571,0.047
OGLE-LMC-RRLYR-16323,5516.75693,18.751,0.044
OGLE-LMC-RRLYR-16323,5517.67006,18.656,0.056
OGLE-LMC-RRLYR-16323,5518.76646,18.752,0.090
OGLE-LMC-RRLYR-16323,5519.69288,18.747,0.081
OGLE-LMC-RRLYR-16323,5521.70973,18.768,0.069
OGLE-LMC-RRLYR-16323,5522.73485,18.822,0.070
OGLE-LMC-RRLYR-16323,5523.69958,18.760,0.054
OGLE-LMC-RRLYR-16323,5524.70800,18.832,0.054
OGLE-LMC-RRLYR-16323,5525.74107,18.136,0.026
OGLE-LMC-RRLYR-16323,5526.69311,18.551,0.036
OGLE-LMC-RRLYR-16323,5527.77382,18.330,0.032
OGLE-LMC-RRLYR-16323,5528.71494,18.242,0.036
OGLE-LMC-RRLYR-16323,5529.69521,18.249,0.032
OGLE-LMC-RRLYR-16323,5530.70244,18.403,0.042
OGLE-LMC-RRLYR-16323,5531.78562,18.578,0.034
OGLE-LMC-RRLYR-16323,5532.69377,18.417,0.031
OGLE-LMC-RRLYR-16323,5533.71712,18.481,0.041
OGLE-LMC-RRLYR-16323,5534.74862,18.633,0.041
OGLE-LMC-RRLYR-16323,5535.72549,18.613,0.044
OGLE-LMC-RRLYR-16323,5536.72812,18.605,0.037
OGLE-LMC-RRLYR-16323,5539.73837,18.763,0.046
OGLE-LMC-RRLYR-16323,5540.82254,18.772,0.049
OGLE-LMC-RRLYR-16323,5541.68870,18.770,0.056
OGLE-LMC-RRLYR-16323,5542.74708,18.736,0.047
OGLE-LMC-RRLYR-16323,5543.77864,18.776,0.070
OGLE-LMC-RRLYR-16323,5544.76612,18.739,0.044
OGLE-LMC-RRLYR-16323,5545.75540,18.708,0.049
OGLE-LMC-RRLYR-16323,5546.70507,18.758,0.052
OGLE-LMC-RRLYR-16323,5547.76487,18.126,0.033
OGLE-LMC-RRLYR-16323,5548.72613,18.163,0.032
OGLE-LMC-RRLYR-16323,5549.69102,18.269,0.039
OGLE-LMC-RRLYR-16323,5550.74488,18.299,0.036
OGLE-LMC-RRLYR-16323,5551.70238,18.203,0.043
OGLE-LMC-RRLYR-16323,5553.74841,18.420,0.044
OGLE-LMC-RRLYR-16323,5554.68173,18.372,0.063
OGLE-LMC-RRLYR-16323,5556.69637,18.519,0.052
OGLE-LMC-RRLYR-16323,5557.67753,18.495,0.038
OGLE-LMC-RRLYR-16323,5558.67844,18.482,0.046
OGLE-LMC-RRLYR-16323,5559.72162,18.657,0.048
OGLE-LMC-RRLYR-16323,5560.66031,18.592,0.040
OGLE-LMC-RRLYR-16323,5561.69411,18.639,0.062
OGLE-LMC-RRLYR-16323,5562.71345,18.700,0.039
OGLE-LMC-RRLYR-16323,5563.64740,18.629,0.055
OGLE-LMC-RRLYR-16323,5565.67932,18.674,0.037
OGLE-LMC-RRLYR-16323,5566.70602,18.747,0.047
OGLE-LMC-RRLYR-16323,5568.72630,18.836,0.063
OGLE-LMC-RRLYR-16323,5569.72086,18.741,0.053
OGLE-LMC-RRLYR-16323,5570.76042,18.175,0.038
OGLE-LMC-RRLYR-16323,5571.69143,18.402,0.038
OGLE-LMC-RRLYR-16323,5572.80863,18.405,0.037
OGLE-LMC-RRLYR-16323,5575.71296,18.438,0.039
OGLE-LMC-RRLYR-16323,5576.68715,18.356,0.030
OGLE-LMC-RRLYR-16323,5577.68941,18.421,0.038
OGLE-LMC-RRLYR-16323,5578.69570,18.513,0.048
OGLE-LMC-RRLYR-16323,5579.74665,18.665,0.064
OGLE-LMC-RRLYR-16323,5580.69069,18.554,0.040
OGLE-LMC-RRLYR-16323,5581.69281,18.550,0.051
OGLE-LMC-RRLYR-16323,5582.69978,18.642,0.052
OGLE-LMC-RRLYR-16323,5583.70654,18.728,0.046
OGLE-LMC-RRLYR-16323,5584.69258,18.672,0.046
OGLE-LMC-RRLYR-16323,5585.69245,18.740,0.053
OGLE-LMC-RRLYR-16323,5586.65623,18.669,0.055
OGLE-LMC-RRLYR-16323,5587.63839,18.590,0.055
OGLE-LMC-RRLYR-16323,5587.65608,18.738,0.047
OGLE-LMC-RRLYR-16323,5588.71574,18.705,0.047
OGLE-LMC-RRLYR-16323,5588.74233,18.785,0.060
OGLE-LMC-RRLYR-16323,5589.64838,18.712,0.049
OGLE-LMC-RRLYR-16323,5591.68571,18.776,0.042
OGLE-LMC-RRLYR-16323,5592.66796,18.797,0.046
OGLE-LMC-RRLYR-16323,5593.65093,18.800,0.053
OGLE-LMC-RRLYR-16323,5594.66716,18.621,0.043
OGLE-LMC-RRLYR-16323,5595.64583,18.591,0.039
OGLE-LMC-RRLYR-16323,5596.70894,18.277,0.029
OGLE-LMC-RRLYR-16323,5597.62642,18.140,0.028
OGLE-LMC-RRLYR-16323,5598.69272,18.430,0.035
OGLE-LMC-RRLYR-16323,5599.65634,18.373,0.040
OGLE-LMC-RRLYR-16323,5600.68907,18.478,0.032
OGLE-LMC-RRLYR-16323,5601.66871,18.444,0.033
OGLE-LMC-RRLYR-16323,5602.66744,18.491,0.034
OGLE-LMC-RRLYR-16323,5603.64959,18.557,0.051
OGLE-LMC-RRLYR-16323,5604.57786,18.437,0.042
OGLE-LMC-RRLYR-16323,5604.64718,18.516,0.046
OGLE-LMC-RRLYR-16323,5604.71998,18.673,0.047
OGLE-LMC-RRLYR-16323,5605.56741,18.448,0.032
OGLE-LMC-RRLYR-16323,5605.73912,18.726,0.038
OGLE-LMC-RRLYR-16323,5606.55597,18.453,0.041
OGLE-LMC-RRLYR-16323,5606.71788,18.749,0.055
OGLE-LMC-RRLYR-16323,5607.58913,18.535,0.055
OGLE-LMC-RRLYR-16323,5607.59181,18.530,0.051
OGLE-LMC-RRLYR-16323,5607.72220,18.747,0.063
OGLE-LMC-RRLYR-16323,5608.60014,18.570,0.051
OGLE-LMC-RRLYR-16323,5609.56710,18.627,0.065
OGLE-LMC-RRLYR-16323,5609.69342,18.695,0.054
OGLE-LMC-RRLYR-16323,5611.57961,18.679,0.064
OGLE-LMC-RRLYR-16323,5611.67688,18.808,0.083
OGLE-LMC-RRLYR-16323,5612.57038,18.639,0.052
OGLE-LMC-RRLYR-16323,5612.67598,18.710,0.070
OGLE-LMC-RRLYR-16323,5613.62269,18.677,0.054
OGLE-LMC-RRLYR-16323,5613.67804,18.813,0.085
OGLE-LMC-RRLYR-16323,5614.56999,18.653,0.051
OGLE-LMC-RRLYR-16323,5614.66927,18.829,0.056
OGLE-LMC-RRLYR-16323,5615.58172,18.710,0.041
OGLE-LMC-RRLYR-16323,5615.71248,18.195,0.036
OGLE-LMC-RRLYR-16323,5616.56873,18.715,0.044
OGLE-LMC-RRLYR-16323,5616.70119,18.105,0.034
OGLE-LMC-RRLYR-16323,5617.53432,18.687,0.047
OGLE-LMC-RRLYR-16323,5617.66574,18.271,0.037
OGLE-LMC-RRLYR-16323,5619.54979,18.740,0.047
OGLE-LMC-RRLYR-16323,5619.66053,18.133,0.029
OGLE-LMC-RRLYR-16323,5620.54297,18.758,0.062
OGLE-LMC-RRLYR-16323,5622.64577,18.269,0.041
OGLE-LMC-RRLYR-16323,5623.60861,18.266,0.035
OGLE-LMC-RRLYR-16323,5624.54977,18.151,0.033
OGLE-LMC-RRLYR-16323,5625.64135,18.493,0.040
OGLE-LMC-RRLYR-16323,5626.60245,18.454,0.043
OGLE-LMC-RRLYR-16323,5627.56720,18.435,0.034
OGLE-LMC-RRLYR-16323,5629.60743,18.521,0.038
OGLE-LMC-RRLYR-16323,5630.61886,18.588,0.052
OGLE-LMC-RRLYR-16323,5632.56698,18.638,0.056
OGLE-LMC-RRLYR-16323,5633.61595,18.683,0.048
OGLE-LMC-RRLYR-16323,5634.57642,18.690,0.057
OGLE-LMC-RRLYR-16323,5635.58072,18.690,0.053
OGLE-LMC-RRLYR-16323,5638.58532,18.726,0.079
OGLE-LMC-RRLYR-16323,5639.59560,18.683,0.072
OGLE-LMC-RRLYR-16323,5640.53455,18.627,0.062
OGLE-LMC-RRLYR-16323,5641.56223,18.679,0.063
OGLE-LMC-RRLYR-16323,5642.51047,18.737,0.042
OGLE-LMC-RRLYR-16323,5643.50823,18.711,0.046
OGLE-LMC-RRLYR-16323,5644.51098,18.758,0.046
OGLE-LMC-RRLYR-16323,5645.50968,18.784,0.067
OGLE-LMC-RRLYR-16323,5646.52270,18.230,0.035
OGLE-LMC-RRLYR-16323,5647.52467,18.151,0.032
OGLE-LMC-RRLYR-16323,5648.52534,18.200,0.035
OGLE-LMC-RRLYR-16323,5649.54011,18.331,0.037
OGLE-LMC-RRLYR-16323,5650.52054,18.392,0.034
OGLE-LMC-RRLYR-16323,5651.52644,18.400,0.028
OGLE-LMC-RRLYR-16323,5652.52139,18.447,0.036
OGLE-LMC-RRLYR-16323,5653.55145,18.559,0.044
OGLE-LMC-RRLYR-16323,5654.56000,18.642,0.046
OGLE-LMC-RRLYR-16323,5655.55117,18.588,0.049
OGLE-LMC-RRLYR-16323,5656.56006,18.623,0.044
OGLE-LMC-RRLYR-16323,5657.52001,18.672,0.054
OGLE-LMC-RRLYR-16323,5659.51933,18.659,0.057
OGLE-LMC-RRLYR-16323,5660.56471,18.767,0.049
OGLE-LMC-RRLYR-16323,5665.51413,18.675,0.071
OGLE-LMC-RRLYR-16323,5666.51096,18.804,0.074
OGLE-LMC-RRLYR-16323,5667.49311,18.770,0.067
OGLE-LMC-RRLYR-16323,5668.49866,18.717,0.073
OGLE-LMC-RRLYR-16323,5669.49264,18.495,0.048
OGLE-LMC-RRLYR-16323,5670.54415,18.257,0.049
OGLE-LMC-RRLYR-16323,5671.49453,18.207,0.061
OGLE-LMC-RRLYR-16323,5672.48943,18.211,0.036
OGLE-LMC-RRLYR-16323,5674.49749,18.401,0.037
OGLE-LMC-RRLYR-16323,5675.49033,18.404,0.046
OGLE-LMC-RRLYR-16323,5676.54562,18.573,0.021
OGLE-LMC-RRLYR-16323,5677.48704,18.456,0.039
OGLE-LMC-RRLYR-16323,5678.52128,18.586,0.048
OGLE-LMC-RRLYR-16323,5679.48888,18.538,0.049
OGLE-LMC-RRLYR-16323,5680.53767,18.669,0.065
OGLE-LMC-RRLYR-16323,5681.50173,18.673,0.070
OGLE-LMC-RRLYR-16323,5682.50116,18.695,0.070
OGLE-LMC-RRLYR-16323,5683.50607,18.731,0.061
OGLE-LMC-RRLYR-16323,5684.51050,18.701,0.057
OGLE-LMC-RRLYR-16323,5685.48220,18.680,0.064
OGLE-LMC-RRLYR-16323,5686.48310,18.658,0.046
OGLE-LMC-RRLYR-16323,5687.48525,18.773,0.070
OGLE-LMC-RRLYR-16323,5691.47678,18.846,0.075
OGLE-LMC-RRLYR-16323,5692.52813,18.206,0.058
OGLE-LMC-RRLYR-16323,5694.49337,18.256,0.049
OGLE-LMC-RRLYR-16323,5695.47780,18.196,0.041
OGLE-LMC-RRLYR-16323,5696.48620,18.293,0.054
OGLE-LMC-RRLYR-16323,5697.47614,18.361,0.044
OGLE-LMC-RRLYR-16323,5699.48567,18.552,0.082
OGLE-LMC-RRLYR-16323,5700.47725,18.597,0.075
OGLE-LMC-RRLYR-16323,5702.47410,18.644,0.061
OGLE-LMC-RRLYR-16323,5706.47381,18.738,0.071
OGLE-LMC-RRLYR-16323,5784.93399,18.118,0.044
OGLE-LMC-RRLYR-16323,5796.90153,18.703,0.059
OGLE-LMC-RRLYR-16323,5803.88529,18.732,0.051
OGLE-LMC-RRLYR-16323,5805.84978,18.797,0.059
OGLE-LMC-RRLYR-16323,5806.90075,18.679,0.051
OGLE-LMC-RRLYR-16323,5809.86196,18.245,0.026
OGLE-LMC-RRLYR-16323,5810.86508,18.176,0.034
OGLE-LMC-RRLYR-16323,5812.85800,18.336,0.034
OGLE-LMC-RRLYR-16323,5814.90700,18.483,0.051
OGLE-LMC-RRLYR-16323,5815.88636,18.513,0.041
OGLE-LMC-RRLYR-16323,5816.86053,18.512,0.062
OGLE-LMC-RRLYR-16323,5817.86217,18.545,0.042
OGLE-LMC-RRLYR-16323,5818.89016,18.604,0.052
OGLE-LMC-RRLYR-16323,5819.84417,18.581,0.049
OGLE-LMC-RRLYR-16323,5820.91158,18.690,0.062
OGLE-LMC-RRLYR-16323,5822.83183,18.661,0.047
OGLE-LMC-RRLYR-16323,5823.90666,18.700,0.079
OGLE-LMC-RRLYR-16323,5824.82863,18.697,0.051
OGLE-LMC-RRLYR-16323,5825.81689,18.670,0.039
OGLE-LMC-RRLYR-16323,5826.86539,18.816,0.051
OGLE-LMC-RRLYR-16323,5827.85937,18.729,0.041
OGLE-LMC-RRLYR-16323,5828.88559,18.756,0.044
OGLE-LMC-RRLYR-16323,5829.85894,18.760,0.036
OGLE-LMC-RRLYR-16323,5830.85052,18.782,0.043
OGLE-LMC-RRLYR-16323,5831.84220,18.721,0.035
OGLE-LMC-RRLYR-16323,5832.83163,18.534,0.034
OGLE-LMC-RRLYR-16323,5833.81600,18.338,0.032
OGLE-LMC-RRLYR-16323,5834.81693,18.153,0.025
OGLE-LMC-RRLYR-16323,5835.87683,18.402,0.035
OGLE-LMC-RRLYR-16323,5836.78335,18.107,0.026
OGLE-LMC-RRLYR-16323,5837.86269,18.485,0.037
OGLE-LMC-RRLYR-16323,5839.84435,18.472,0.037
OGLE-LMC-RRLYR-16323,5840.82784,18.487,0.035
OGLE-LMC-RRLYR-16323,5841.82488,18.523,0.043
OGLE-LMC-RRLYR-16323,5842.84246,18.639,0.073
OGLE-LMC-RRLYR-16323,5843.85798,18.715,0.048
OGLE-LMC-RRLYR-16323,5845.87295,18.690,0.075
OGLE-LMC-RRLYR-16323,5846.83344,18.673,0.084
OGLE-LMC-RRLYR-16323,5850.79809,18.647,0.046
OGLE-LMC-RRLYR-16323,5851.80631,18.739,0.052
OGLE-LMC-RRLYR-16323,5852.79008,18.674,0.074
OGLE-LMC-RRLYR-16323,5853.86181,18.472,0.052
OGLE-LMC-RRLYR-16323,5854.76512,18.683,0.044
OGLE-LMC-RRLYR-16323,5855.83484,18.152,0.026
OGLE-LMC-RRLYR-16323,5856.80641,18.266,0.040
OGLE-LMC-RRLYR-16323,5858.84064,18.260,0.042
OGLE-LMC-RRLYR-16323,5859.80915,18.314,0.031
OGLE-LMC-RRLYR-16323,5860.79420,18.324,0.033
OGLE-LMC-RRLYR-16323,5861.80321,18.378,0.036
OGLE-LMC-RRLYR-16323,5863.80638,18.514,0.034
OGLE-LMC-RRLYR-16323,5864.71370,18.318,0.028
OGLE-LMC-RRLYR-16323,5865.78328,18.495,0.037
OGLE-LMC-RRLYR-16323,5866.80741,18.573,0.039
OGLE-LMC-RRLYR-16323,5867.74633,18.509,0.040
OGLE-LMC-RRLYR-16323,5868.84781,18.653,0.034
OGLE-LMC-RRLYR-16323,5869.81332,18.712,0.040
OGLE-LMC-RRLYR-16323,5870.75313,18.621,0.044
OGLE-LMC-RRLYR-16323,5871.73923,18.614,0.042
OGLE-LMC-RRLYR-16323,5872.74857,18.699,0.046
OGLE-LMC-RRLYR-16323,5873.74381,18.708,0.047
OGLE-LMC-RRLYR-16323,5874.77737,18.660,0.056
OGLE-LMC-RRLYR-16323,5875.71327,18.712,0.058
OGLE-LMC-RRLYR-16323,5878.81424,18.292,0.055
OGLE-LMC-RRLYR-16323,5879.69833,18.713,0.085
OGLE-LMC-RRLYR-16323,5880.74981,18.634,0.053
OGLE-LMC-RRLYR-16323,5881.73636,18.551,0.042
OGLE-LMC-RRLYR-16323,5882.76714,18.177,0.031
OGLE-LMC-RRLYR-16323,5883.77109,18.286,0.044
OGLE-LMC-RRLYR-16323,5885.70242,18.194,0.041
OGLE-LMC-RRLYR-16323,5886.73847,18.371,0.053
OGLE-LMC-RRLYR-16323,5887.81086,18.541,0.036
OGLE-LMC-RRLYR-16323,5888.79952,18.545,0.044
OGLE-LMC-RRLYR-16323,5889.84168,18.670,0.044
OGLE-LMC-RRLYR-16323,5890.77523,18.680,0.048
OGLE-LMC-RRLYR-16323,5891.73390,18.568,0.040
OGLE-LMC-RRLYR-16323,5892.75166,18.615,0.042
OGLE-LMC-RRLYR-16323,5893.76979,18.639,0.036
OGLE-LMC-RRLYR-16323,5894.79328,18.687,0.043
OGLE-LMC-RRLYR-16323,5895.81035,18.677,0.047
OGLE-LMC-RRLYR-16323,5896.79341,18.751,0.043
OGLE-LMC-RRLYR-16323,5897.74022,18.727,0.043
OGLE-LMC-RRLYR-16323,5898.72241,18.675,0.049
OGLE-LMC-RRLYR-16323,5899.78156,18.784,0.048
OGLE-LMC-RRLYR-16323,5900.73122,18.732,0.043
OGLE-LMC-RRLYR-16323,5901.78048,18.620,0.048
OGLE-LMC-RRLYR-16323,5903.78693,18.171,0.035
OGLE-LMC-RRLYR-16323,5904.76158,18.161,0.030
OGLE-LMC-RRLYR-16323,5905.73560,18.108,0.033
OGLE-LMC-RRLYR-16323,5906.74749,18.201,0.039
OGLE-LMC-RRLYR-16323,5907.72556,18.237,0.035
OGLE-LMC-RRLYR-16323,5908.75089,18.337,0.038
OGLE-LMC-RRLYR-16323,5909.79540,18.542,0.042
OGLE-LMC-RRLYR-16323,5910.70822,18.369,0.035
OGLE-LMC-RRLYR-16323,5911.74006,18.531,0.038
OGLE-LMC-RRLYR-16323,5912.76053,18.627,0.040
OGLE-LMC-RRLYR-16323,5913.73248,18.562,0.035
OGLE-LMC-RRLYR-16323,5914.75511,18.593,0.035
OGLE-LMC-RRLYR-16323,5915.71214,18.589,0.033
OGLE-LMC-RRLYR-16323,5916.76850,18.646,0.035
OGLE-LMC-RRLYR-16323,5917.72967,18.697,0.039
OGLE-LMC-RRLYR-16323,5922.74672,18.786,0.047
OGLE-LMC-RRLYR-16323,5923.72294,18.698,0.035
OGLE-LMC-RRLYR-16323,5924.70427,18.694,0.041
OGLE-LMC-RRLYR-16323,5926.73008,18.476,0.035
OGLE-LMC-RRLYR-16323,5927.72910,18.116,0.029
OGLE-LMC-RRLYR-16323,5929.70328,18.139,0.029
OGLE-LMC-RRLYR-16323,5930.84845,18.556,0.034
OGLE-LMC-RRLYR-16323,5931.67029,18.200,0.034
OGLE-LMC-RRLYR-16323,5932.66760,18.250,0.036
OGLE-LMC-RRLYR-16323,5933.71749,18.425,0.044
OGLE-LMC-RRLYR-16323,5934.71355,18.500,0.041
OGLE-LMC-RRLYR-16323,5936.65908,18.499,0.057
OGLE-LMC-RRLYR-16323,5937.68839,18.565,0.040
OGLE-LMC-RRLYR-16323,5938.68917,18.586,0.041
OGLE-LMC-RRLYR-16323,5939.73325,18.587,0.050
OGLE-LMC-RRLYR-16323,5940.76886,18.606,0.043
OGLE-LMC-RRLYR-16323,5941.76956,18.756,0.055
OGLE-LMC-RRLYR-16323,5942.79417,18.722,0.046
OGLE-LMC-RRLYR-16323,5943.75102,18.746,0.049
OGLE-LMC-RRLYR-16323,5944.74392,18.744,0.038
OGLE-LMC-RRLYR-16323,5945.72463,18.678,0.035
OGLE-LMC-RRLYR-16323,5946.66447,18.690,0.041
OGLE-LMC-RRLYR-16323,5946.78044,18.448,0.047
OGLE-LMC-RRLYR-16323,5947.73101,18.838,0.056
OGLE-LMC-RRLYR-16323,5948.71986,18.691,0.041
OGLE-LMC-RRLYR-16323,5949.73604,18.117,0.033
OGLE-LMC-RRLYR-16323,5950.65700,18.822,0.044
OGLE-LMC-RRLYR-16323,5951.68239,18.258,0.038
OGLE-LMC-RRLYR-16323,5952.70698,18.185,0.025
OGLE-LMC-RRLYR-16323,5953.70492,18.302,0.036
OGLE-LMC-RRLYR-16323,5954.70247,18.333,0.026
OGLE-LMC-RRLYR-16323,5955.72513,18.462,0.035
OGLE-LMC-RRLYR-16323,5956.72515,18.465,0.033
OGLE-LMC-RRLYR-16323,5958.74237,18.621,0.040
OGLE-LMC-RRLYR-16323,5959.71432,18.639,0.039
OGLE-LMC-RRLYR-16323,5960.71638,18.606,0.041
OGLE-LMC-RRLYR-16323,5961.64813,18.529,0.034
OGLE-LMC-RRLYR-16323,5962.64901,18.572,0.068
OGLE-LMC-RRLYR-16323,5963.61574,18.578,0.081
OGLE-LMC-RRLYR-16323,5964.62771,18.658,0.062
OGLE-LMC-RRLYR-16323,5965.62663,18.724,0.051
OGLE-LMC-RRLYR-16323,5967.64881,18.714,0.070
OGLE-LMC-RRLYR-16323,5968.64891,18.672,0.053
OGLE-LMC-RRLYR-16323,5969.62493,18.738,0.042
OGLE-LMC-RRLYR-16323,5970.60241,18.727,0.038
OGLE-LMC-RRLYR-16323,5971.69531,18.747,0.041
OGLE-LMC-RRLYR-16323,5972.68169,18.736,0.041
OGLE-LMC-RRLYR-16323,5973.66476,18.672,0.033
OGLE-LMC-RRLYR-16323,5974.61978,18.765,0.046
OGLE-LMC-RRLYR-16323,5976.65394,18.147,0.029
OGLE-LMC-RRLYR-16323,5977.68751,18.360,0.031
OGLE-LMC-RRLYR-16323,5978.66394,18.303,0.029
OGLE-LMC-RRLYR-16323,5979.61410,18.227,0.032
OGLE-LMC-RRLYR-16323,5980.64425,18.370,0.038
OGLE-LMC-RRLYR-16323,5981.65323,18.455,0.041
OGLE-LMC-RRLYR-16323,5982.65917,18.532,0.043
OGLE-LMC-RRLYR-16323,5983.70231,18.609,0.032
OGLE-LMC-RRLYR-16323,5984.64129,18.560,0.035
OGLE-LMC-RRLYR-16323,5985.67318,18.689,0.052
OGLE-LMC-RRLYR-16323,5986.60295,18.569,0.037
OGLE-LMC-RRLYR-16323,5987.67874,18.701,0.044
OGLE-LMC-RRLYR-16323,5988.64489,18.700,0.046
OGLE-LMC-RRLYR-16323,5989.60883,18.645,0.047
OGLE-LMC-RRLYR-16323,5990.60237,18.626,0.061
OGLE-LMC-RRLYR-16323,5991.67736,18.785,0.060
OGLE-LMC-RRLYR-16323,5992.63766,18.660,0.055
OGLE-LMC-RRLYR-16323,5993.59450,18.731,0.057
OGLE-LMC-RRLYR-16323,5994.59397,18.706,0.061
OGLE-LMC-RRLYR-16323,5996.61098,18.813,0.073
OGLE-LMC-RRLYR-16323,5997.61315,18.747,0.058
OGLE-LMC-RRLYR-16323,5998.61150,18.634,0.048
OGLE-LMC-RRLYR-16323,5998.68116,18.239,0.035
OGLE-LMC-RRLYR-16323,5999.65223,18.194,0.028
OGLE-LMC-RRLYR-16323,6000.62760,18.185,0.030
OGLE-LMC-RRLYR-16323,6002.59129,18.213,0.034
OGLE-LMC-RRLYR-16323,6003.55746,18.252,0.042
OGLE-LMC-RRLYR-16323,6004.61784,18.390,0.043
OGLE-LMC-RRLYR-16323,6005.60087,18.467,0.038
OGLE-LMC-RRLYR-16323,6006.58484,18.408,0.033
OGLE-LMC-RRLYR-16323,6007.58315,18.469,0.036
OGLE-LMC-RRLYR-16323,6008.61764,18.528,0.041
OGLE-LMC-RRLYR-16323,6009.55873,18.547,0.052
OGLE-LMC-RRLYR-16323,6010.61430,18.662,0.065
OGLE-LMC-RRLYR-16323,6011.57310,18.647,0.046
OGLE-LMC-RRLYR-16323,6012.57218,18.609,0.063
OGLE-LMC-RRLYR-16323,6013.55392,18.633,0.040
OGLE-LMC-RRLYR-16323,6014.57285,18.685,0.048
OGLE-LMC-RRLYR-16323,6015.56821,18.721,0.046
OGLE-LMC-RRLYR-16323,6016.60889,18.691,0.040
