# OGLE-IV I-band photometry for three LMC RR Lyrae stars spanning Bailey type.
# Source: Soszynski et al. 2016 (Acta Astronomica 66, 131), OGLE-IV Collection of
#   Variable Stars, https://www.astrouw.edu.pl/ogle/ogle4/OCVS/lmc/rrlyr/phot/I/
# Downloaded 2026-08-17.
#
# OGLE-LMC-RRLYR-03686 (RRc, 0.284 d), OGLE-LMC-RRLYR-16323 (RRab, 0.489 d)
#   and OGLE-LMC-RRLYR-12984 (RRab, 0.650 d). Same galaxy, three clocks:
#   an overtone sine, a high-amplitude sawtooth, and a longer, smaller bump.
#
# time_hjd is HJD - 2450000 as stored by OGLE; i_mag is the I-band magnitude
#   and i_mag_error is the catalogue uncertainty. Folding uses the period only.
star,time_hjd,i_mag,i_mag_error
OGLE-LMC-RRLYR-03686,5545.74507,18.606,0.024
OGLE-LMC-RRLYR-03686,5546.69475,18.422,0.024
OGLE-LMC-RRLYR-03686,5547.75453,18.565,0.026
OGLE-LMC-RRLYR-03686,5548.71451,18.500,0.027
OGLE-LMC-RRLYR-03686,5549.68063,18.677,0.033
OGLE-LMC-RRLYR-03686,5550.73447,18.584,0.027
OGLE-LMC-RRLYR-03686,5551.68497,18.698,0.033
OGLE-LMC-RRLYR-03686,5553.73804,18.532,0.027
OGLE-LMC-RRLYR-03686,5554.67135,18.458,0.027
OGLE-LMC-RRLYR-03686,5556.68597,18.553,0.021
OGLE-LMC-RRLYR-03686,5557.66711,18.664,0.025
OGLE-LMC-RRLYR-03686,5558.66803,18.513,0.021
OGLE-LMC-RRLYR-03686,5559.65821,18.676,0.039
OGLE-LMC-RRLYR-03686,5560.64989,18.460,0.020
OGLE-LMC-RRLYR-03686,5561.68346,18.596,0.030
OGLE-LMC-RRLYR-03686,5562.70303,18.578,0.024
OGLE-LMC-RRLYR-03686,5563.63700,18.669,0.029
OGLE-LMC-RRLYR-03686,5565.66829,18.491,0.025
OGLE-LMC-RRLYR-03686,5566.69557,18.624,0.025
OGLE-LMC-RRLYR-03686,5568.71587,18.697,0.035
OGLE-LMC-RRLYR-03686,5569.71042,18.469,0.023
OGLE-LMC-RRLYR-03686,5570.74916,18.620,0.025
OGLE-LMC-RRLYR-03686,5571.68099,18.414,0.020
OGLE-LMC-RRLYR-03686,5572.79742,18.442,0.024
OGLE-LMC-RRLYR-03686,5575.70246,18.475,0.024
OGLE-LMC-RRLYR-03686,5576.67668,18.709,0.023
OGLE-LMC-RRLYR-03686,5577.67821,18.453,0.026
OGLE-LMC-RRLYR-03686,5578.68499,18.627,0.028
OGLE-LMC-RRLYR-03686,5579.73535,18.580,0.037
OGLE-LMC-RRLYR-03686,5580.67903,18.648,0.025
OGLE-LMC-RRLYR-03686,5581.68149,18.525,0.029
OGLE-LMC-RRLYR-03686,5582.68928,18.569,0.029
OGLE-LMC-RRLYR-03686,5583.69606,18.556,0.023
OGLE-LMC-RRLYR-03686,5584.68209,18.601,0.026
OGLE-LMC-RRLYR-03686,5585.68193,18.538,0.025
OGLE-LMC-RRLYR-03686,5586.64570,18.643,0.028
OGLE-LMC-RRLYR-03686,5587.62781,18.505,0.026
